Hum,Macaca,Mouse,Rat
PI4KA,PI4KA,Pi4ka,Pi4ka
CCNT2,CCNT2,Ccnt2,Ccnt2
ZRANB2,ZRANB2,Zranb2,Zranb2
IKZF3,IKZF3,Ikzf3,Ikzf3
FAR2,FAR2,Far2,Far2
FOXN4,FOXN4,Foxn4,Foxn4
ZIC1,ZIC1,Zic1,Zic1
MT4,MT4,Mt4,Mt4
HPN,HPN,Hpn,Hpn
PTPRJ,PTPRJ,Ptprj,Ptprj
XYLT2,XYLT2,Xylt2,Xylt2
ZNF280D,ZNF280D,Zfp280d,Zfp280d
FLI1,FLI1,Fli1,Fli1
MT3,MT2,Mt3,Mt3
CALN1,CALN1,Caln1,Caln1
TAF5L,TAF5L,Taf5l,RGD1563991
TRMT1L,TRMT1L,Trmt1l,Trmt1l
SMIM31,SMIM31,BC030870,LOC100910404
STAP2,STAP2,Stap2,Stap2
LZTFL1,LZTFL1,Lztfl1,Lztfl1
HELZ2,HELZ2,Helz2,Helz2
NLRP10,NLRP10,Nlrp10,Nlrp10
ERGIC2,ERGIC2,Ergic2,Ergic2
DEDD2,DEDD2,Dedd2,Dedd2
ACMSD,ACMSD,Acmsd,Acmsd
WFDC2,WFDC2,Wfdc2,Wfdc2
MN1,MN1,Mn1,Mn1
HEMGN,HEMGN,Hemgn,Hemgn
LCN10,LCN10,Lcn10,Lcn10
IQSEC3,IQSEC3,Iqsec3,Iqsec3
CDH16,CDH16,Cdh16,Cdh16
HYAL4,HYAL4,Hyal4,Hyal4
URB2,URB2,Urb2,Urb2
RBM44,RBM44,Rbm44,Rbm44
DBR1,DBR1,Dbr1,Dbr1
GPR151,GPR151,Gpr151,Gpr151
CCR9,CCR9,Ccr9,Ccr9
FBXL15,FBXL15,Fbxl15,Fbxl15
CD163,CD163,Cd163,Cd163
RNF139,RNF139,Rnf139,Rnf139
TEX14,TEX14,Tex14,Tex14
C20orf141,C20orf141,1700020A23Rik,LOC100365450
PSD,PSD,Psd,Psd
SLC4A7,SLC4A7,Slc4a7,Slc4a7
NPHP4,NPHP4,Nphp4,Nphp4
LRRFIP1,LRRFIP1,Lrrfip1,Lrrfip1
HIVEP1,HIVEP1,Hivep1,Hivep1
GKN2,GKN2,Gkn2,Gkn2
MEX3D,MEX3D,Mex3d,Mex3d
KCNAB1,KCNAB1,Kcnab1,Kcnab1
PPP2R2B,PPP2R2B,Ppp2r2b,Ppp2r2b
ARC,ARC,Arc,Arc
MIDN,MIDN,Midn,Midn
CIR1,CIR1,Cir1,Cir1
INTS4,INTS4,Ints4,Ints4
RPL8,RPL8,Rpl8,Rpl8
TMTC4,TMTC4,Tmtc4,Tmtc4
VASH2,VASH2,Vash2,Vash2
HHIPL2,HHIPL2,Hhipl2,Hhipl2
RASSF8,RASSF8,Rassf8,Rassf8
EDN1,EDN1,Edn1,Edn1
LRFN4,LRFN4,Lrfn4,Lrfn4
MISP3,,2210011C24Rik,Misp3
LRRC45,LRRC45,Lrrc45,Lrrc45
LARS,LARS,Lars,Lars
SLC26A11,SLC26A11,Slc26a11,Slc26a11
KCTD19,KCTD19,Kctd19,Kctd19
ADORA1,ADORA1,Adora1,Adora1
CNOT3,CNOT3,Cnot3,Cnot3
ODF2,ODF2,Odf2,Odf2
FGF1,FGF1,Fgf1,Fgf1
PPIL4,PPIL4,Ppil4,Ppil4
C1QBP,C1QBP,C1qbp,C1qbp
DLAT,DLAT,Dlat,Dlat
PCDH12,PCDH12,Pcdh12,Pcdh12
CYTH1,CYTH1,Cyth1,Cyth1
MROH8,MROH8,Mroh8,Mroh8
DNAH17,DNAH17,Dnah17,Dnah17
FGF4,FGF4,Fgf4,Fgf4
IER5L,IER5L,Ier5l,Ier5l
GUK1,,Guk1,Guk1
TMEM88,TMEM88,Tmem88,Tmem88
PLAGL1,PLAGL1,Plagl1,Plagl1
SACM1L,SACM1L,Sacm1l,Sacm1l
SOST,SOST,Sost,Sost
DKKL1,DKKL1,Dkkl1,Dkkl1
ACRV1,ACRV1,Acrv1,Acrv1
UGDH,UGDH,Ugdh,Ugdh
ADH7,ADH1B,Adh7,Adh7
PRG2,PRG2,Prg2,Prg2
TFB2M,TFB2M,Tfb2m,Tfb2m
LPCAT1,LPCAT1,Lpcat1,Lpcat1
DIAPH1,DIAPH1,Diaph1,Diaph1
FAM110A,FAM110A,Fam110a,Fam110a
SRP68,SRP68,Srp68,Srp68
MYO19,MYO19,Myo19,Myo19
R3HDML,R3HDML,R3hdml,R3hdml
ADGB,ADGB,Adgb,Adgb
MCM3AP,MCM3AP,Mcm3ap,Mcm3ap
PCP2,PCP2,Pcp2,Pcp2
UBFD1,UBFD1,Ubfd1,Ubfd1
HRC,HRC,Hrc,Hrc
CD276,CD276,Cd276,Cd276
ABCC8,ABCC8,Abcc8,Abcc8
LRP10,LRP10,Lrp10,Lrp10
DOK5,DOK5,Dok5,Dok5
BTBD19,BTBD19,Btbd19,Btbd19
GPANK1,GPANK1,Gpank1,Gpank1
RAB11FIP2,RAB11FIP2,Rab11fip2,Rab11fip2
FLVCR2,FLVCR2,Flvcr2,Flvcr2
KIF3A,KIF3A,Kif3a,Kif3a
NSMF,NSMF,Nsmf,Nsmf
LIN7B,LIN7B,Lin7b,Lin7b
CD69,CD69,Cd69,Cd69
ARID5A,ARID5A,Arid5a,Arid5a
KCNA7,KCNA7,Kcna7,Kcna7
SLC25A2,SLC25A2,Slc25a2,Slc25a2
PPP1R26,PPP1R26,Ppp1r26,Ppp1r26
ZDHHC3,ZDHHC3,Zdhhc3,Zdhhc3
SERPINA5,SERPINA5,Serpina5,Serpina5
PGLYRP1,PGLYRP1,Pglyrp1,Pglyrp1
NPHP3,NPHP3,Nphp3,Nphp3
LYZL6,LYZL6,Lyzl6,Lyzl6
RALGAPA1,RALGAPA1,Ralgapa1,Ralgapa1
ACAD11,ACAD11,Acad11,Acad11
NDUFS3,NDUFS3,Ndufs3,Ndufs3
CTNNA1,CTNNA1,Ctnna1,Ctnna1
PLG,PLG,Plg,Plg
EYA4,EYA4,Eya4,Eya4
NMNAT3,NMNAT3,Nmnat3,Nmnat3
AARS,AARS,Aars,Aars
CAMK2G,CAMK2G,Camk2g,Camk2g
TAL2,TAL2,Tal2,Tal2
NUDCD1,NUDCD1,Nudcd1,Nudcd1
ZFAT,ZFAT,Zfat,Zfat
MAP3K12,MAP3K12,Map3k12,Map3k12
SHTN1,SHTN1,Shtn1,Shtn1
LUZP1,LUZP1,Luzp1,Luzp1
PNLIPRP2,PNLIPRP2,Pnliprp2,Pnliprp2
ABHD15,ABHD15,Abhd15,Abhd15
SLITRK6,SLITRK6,Slitrk6,Slitrk6
WNT3A,WNT3A,Wnt3a,Wnt3a
SRR,SRR,Srr,Srr
USP31,USP31,Usp31,Usp31
MTA1,MTA1,Mta1,Mta1
PRSS57,PRSS57,Prss57,Prss57
HS3ST2,HS3ST2,Hs3st2,Hs3st2
RAB11A,RAB11A,Rab11a,Rab11a
EFNA5,EFNA5,Efna5,Efna5
DSP,DSP,Dsp,Dsp
ETF1,ETF1,Etf1,Etf1
ATP6V1B1,ATP6V1B1,Atp6v1b1,Atp6v1b1
SSTR2,SSTR2,Sstr2,Sstr2
PPP1R12C,PPP1R12C,Ppp1r12c,Ppp1r12c
ABCA5,ABCA5,Abca5,Abca5
BFAR,BFAR,Bfar,Bfar
IMMT,IMMT,Immt,Immt
GABRE,GABRE,Gabre,Gabre
NME3,NME3,Nme3,Nme3
NRP1,NRP1,Nrp1,Nrp1
ARTN,ARTN,Artn,Artn
LZTS1,LZTS1,Lzts1,Lzts1
DEFB128,DEFB128,Defb20,Defb20
C1QB,C1QB,C1qb,C1qb
ADPGK,ADPGK,Adpgk,Adpgk
TNNI3,TNNI3,Tnni3,Tnni3
KRT27,KRT27,Krt27,Krt27
ZBTB16,ZBTB16,Zbtb16,Zbtb16
CAMK2A,CAMK2A,Camk2a,Camk2a
IKZF2,IKZF2,Ikzf2,Ikzf2
NR6A1,NR6A1,Nr6a1,Nr6a1
PRPF3,PRPF3,Prpf3,Prpf3
RSPO2,RSPO2,Rspo2,Rspo2
PCF11,PCF11,Pcf11,Pcf11
SIX5,SIX5,Six5,Six5
DDX24,DDX24,Ddx24,Ddx24
PNCK,PNCK,Pnck,Pnck
BRIX1,BRIX1,Brix1,Brix1
TNNT2,TNNT2,Tnnt2,Tnnt2
DPH1,DPH1,Dph1,Dph1
UAP1L1,UAP1L1,Uap1l1,Uap1l1
SNORA74D,SNORA74,Mir1949,SNORA74
MIR1282,,Gm22953,Gm22953
RN7SKP10,7SK,Rn7sk,7SK
RNU6-73P,U6,Gm25453,U6
RNU1-87P,U1,Gm23000,U1
RNU6-525P,U6,Gm25401,U6
FAM169A,FAM169A,Fam169a,Fam169a
ENC1,ENC1,Enc1,Enc1
GFM2,GFM2,Gfm2,Gfm2
RCE1,RCE1,Rce1,Rce1
FAM189A2,FAM189A2,Fam189a2,Fam189a2
EVL,EVL,Evl,Evl
USP20,USP20,Usp20,Usp20
C9orf78,C9orf78,BC005624,RGD1305178
SH2D4B,SH2D4B,Sh2d4b,Sh2d4b
TSKU,TSKU,Tsku,Tsku
DIXDC1,DIXDC1,Dixdc1,Dixdc1
PLK1,PLK1,Plk1,Plk1
OSCAR,,Oscar,Oscar
NEK2,NEK2,Nek2,Nek2
ERN2,,Ern2,Ern2
SLC1A5,SLC1A5,Slc1a5,Slc1a5
COLEC10,COLEC10,Colec10,Colec10
AP5M1,AP5M1,Ap5m1,Ap5m1
FKRP,FKRP,Fkrp,Fkrp
FGF19,FGF19,Fgf15,Fgf19
TSPAN32,TSPAN32,Tspan32,Tspan32
SHISA4,SHISA4,Shisa4,Shisa4
ACLY,ACLY,Acly,Acly
ORAOV1,ORAOV1,Oraov1,Oraov1
ZCCHC10,ZCCHC10,Zcchc10,Zcchc10
C11orf1,C14H11orf1,1110032A03Rik,RGD1564937
NAE1,NAE1,Nae1,Nae1
PELI2,PELI2,Peli2,Peli2
PIWIL4,PIWIL4,Piwil4,Piwil4
ARHGAP27,ARHGAP27,Arhgap27,Arhgap27
GPATCH2L,GPATCH2L,Gpatch2l,Gpatch2l
DUSP3,DUSP3,Dusp3,Dusp3
GAMT,GAMT,Gamt,Gamt
TAGLN,TAGLN,Tagln,Tagln
GNG8,GNG8,Gng8,Gng8
CTSW,CTSW,Ctsw,Ctsw
HAPLN1,HAPLN1,Hapln1,Hapln1
RNF157,RNF157,Rnf157,Rnf157
CREBZF,CREBZF,Crebzf,Crebzf
ABCC4,ABCC4,Abcc4,Abcc4
TTK,TTK,Ttk,Ttk
FOXD2,FOXD2,Foxd2,Foxd2
SPARC,SPARC,Sparc,Sparc
ACOX1,ACOX1,Acox1,Acox1
ZNF185,ZNF185,Zfp185,Zfp185
LIPH,LIPH,Liph,Liph
IZUMO1R,IZUMO1R,Izumo1r,Izumo1r
CCDC8,CCDC8,Ccdc8,Ccdc8
LMX1B,LMX1B,Lmx1b,Lmx1b
KCNA10,KCNA10,Kcna10,Kcna10
POU2AF1,POU2AF1,Pou2af1,Pou2af1
MYBBP1A,MYBBP1A,Mybbp1a,Mybbp1a
IGF2,,Igf2,Igf2
DNAJC2,DNAJC2,Dnajc2,Dnajc2
TMPRSS3,TMPRSS3,Tmprss3,Tmprss3
ZNF436,ZNF436,Zfp46,Zfp46
RPS26,RPS26,Rps26,RGD1565117
SUGT1,SUGT1,Sugt1,Sugt1
CLEC3B,CLEC3B,Clec3b,Clec3b
NR2F6,NR2F6,Nr2f6,Nr2f6
GRB2,GRB2,Grb2,Grb2
KCMF1,KCMF1,Kcmf1,Kcmf1
SCN8A,SCN8A,Scn8a,Scn8a
GAPVD1,GAPVD1,Gapvd1,Gapvd1
EGFR,EGFR,Egfr,Egfr
JPT1,JPT1,Jpt1,Hn1
SLC16A4,SLC16A4,Slc16a4,Slc16a4
KRT36,KRT36,Krt36,Krt36
KTN1,KTN1,Ktn1,Ktn1
TMSB10,TMSB10,Tmsb10,LOC100364435
KCNN4,KCNN4,Kcnn4,Kcnn4
IRGC,IRGC,Irgc1,Irgc
WDR90,WDR90,Wdr90,Wdr90
ADAM18,ADAM18,Adam18,Adam18
CUL4A,CUL4A,Cul4a,Cul4a
HNRNPUL1,HNRNPUL1,Hnrnpul1,Hnrnpul1
KDM1A,KDM1A,Kdm1a,Kdm1a
FAM160A1,FAM160A1,Fam160a1,Fam160a1
CD74,CD74,Cd74,Cd74
KCNQ4,KCNQ4,Kcnq4,Kcnq4
HNRNPU,HNRNPU,Hnrnpu,Hnrnpu
C1orf228,C1orf228,Gm1661,RGD1563714
CNKSR2,CNKSR2,Cnksr2,Cnksr2
ANKRD53,ANKRD53,Ankrd53,Ankrd53
MAST2,MAST2,Mast2,Mast2
MSH6,MSH6,Msh6,Msh6
CYP7A1,CYP7A1,Cyp7a1,Cyp7a1
SLC44A1,SLC44A1,Slc44a1,Slc44a1
PRMT3,PRMT3,Prmt3,Prmt3
GLO1,GLO1,Glo1,Glo1
KRT20,KRT20,Krt20,Krt20
TCTEX1D1,TCTEX1D1,Tctex1d1,Tctex1d1
RHBDD1,RHBDD1,Rhbdd1,Rhbdd1
IRS1,IRS1,Irs1,Irs1
RAB34,RAB34,Rab34,Rab34
RAB3IP,RAB3IP,Rab3ip,Rab3ip
ZDHHC24,ZDHHC24,Zdhhc24,Zdhhc24
OTUB2,OTUB2,Otub2,Otub2
OXA1L,OXA1L,Oxa1l,Oxa1l
SHPRH,SHPRH,Shprh,Shprh
ST7,ST7,St7,ST7
LRRC28,LRRC28,Lrrc28,Lrrc28
uc_338,uc_338,Gm27406,uc_338
SNORA31,SNORA31,Snora31,SNORA31
RNU6-1317P,U6,Gm26420,U6
NRON,NRON,Nron,NRON
SNORA80B,SNORA42,Gm22748,SNORA42
SNORD8,snoU6-53,Snord8,snoU6-53
SNORD96A,SNORD96,Snord96a,SNORD96
RNU6-622P,U6,Gm23448,U6
RNU6-1301P,U6,Gm22699,U6
RNU6ATAC15P,U6atac,Gm22105,U6atac
SNORA22,SNORA22,Gm24559,SNORA22
RNU1-134P,U1,Gm25581,U1
ADD3,ADD3,Add3,Add3
BCL2L12,,Bcl2l12,Bcl2l12
RUNDC3A,RUNDC3A,Rundc3a,Rundc3a
WDR34,WDR34,Wdr34,Wdr34
PCNX4,PCNX4,Pcnx4,Pcnx4
PCYT2,PCYT2,Pcyt2,Pcyt2
SLC38A10,SLC38A10,Slc38a10,Slc38a10
CEP131,CEP131,Cep131,Cep131
SLC4A9,SLC4A9,Slc4a9,Slc4a9
C17orf53,C17orf53,BC030867,LOC303566
PSD2,PSD2,Psd2,Psd2
SHC3,SHC3,Shc3,Shc3
IL18,IL18,Il18,Il18
MTF2,MTF2,Mtf2,Mtf2
RPAIN,RPAIN,Rpain,Rpain
CDC42BPB,CDC42BPB,Cdc42bpb,Cdc42bpb
LINS1,LINS1,Lins1,Lins1
RABEP1,RABEP1,Rabep1,Rabep1
HAND1,HAND1,Hand1,Hand1
USP36,USP36,Usp36,Usp36
RPS6KA5,RPS6KA5,Rps6ka5,Rps6ka5
KIAA0141,KIAA0141,0610009O20Rik,RGD735029
UBAC1,UBAC1,Ubac1,Ubac1
C9orf50,C9orf50,1700001O22Rik,RGD1311084
MFAP3,MFAP3,Mfap3,Mfap3
CCNH,CCNH,Ccnh,Ccnh
CEP164,CEP164,Cep164,Cep164
RTN4RL2,RTN4RL2,Rtn4rl2,Rtn4rl2
CACNG8,CACNG8,Cacng8,Cacng8
STK39,STK39,Stk39,Stk39
SESN3,SESN3,Sesn3,Sesn3
QKI,,Qk,LOC108348175
FHOD1,FHOD1,Fhod1,Fhod1
FADS1,FADS1,Fads1,Fads1
ESRRB,ESRRB,Esrrb,Esrrb
ANO8,ANO8,Ano8,Ano8
PHF12,PHF12,Phf12,Phf12
SPHKAP,SPHKAP,Sphkap,Sphkap
COQ4,COQ4,Coq4,Coq4
MEIOB,MEIOB,Meiob,Meiob
FCHSD1,FCHSD1,Fchsd1,Fchsd1
TRUB2,TRUB2,Trub2,Trub2
SMTNL2,SMTNL2,Smtnl2,Smtnl2
PRKD2,PRKD2,Prkd2,Prkd2
AMPD1,AMPD1,Ampd1,Ampd1
PCSK7,PCSK7,Pcsk7,Pcsk7
PRTN3,PRTN3,Prtn3,Prtn3
C10orf76,C10orf76,9130011E15Rik,C1H10orf76
SHQ1,SHQ1,Shq1,Shq1
UBE2S,UBE2S,Ube2s,Ube2s
CNST,CNST,Cnst,Cnst
BFSP2,BFSP2,Bfsp2,Bfsp2
TMEM108,TMEM108,Tmem108,Tmem108
SYNE3,SYNE3,Syne3,Syne3
HMMR,HMMR,Hmmr,Hmmr
DYDC1,DYDC1,Dydc1,Dydc1
MBIP,MBIP,Mbip,Mbip
KMT5C,KMT5C,Kmt5c,Kmt5c
LRRC41,LRRC41,Lrrc41,Lrrc41
CRABP1,CRABP1,Crabp1,Crabp1
MAPK10,MAPK10,Mapk10,Mapk10
C15orf59,C15orf59,6030419C18Rik,RGD1562618
TMEM150B,TMEM150B,Tmem150b,Tmem150b
ARHGAP24,ARHGAP24,Arhgap24,Arhgap24
SEMA7A,SEMA7A,Sema7a,Sema7a
PNMA8B,,Pnmal2,Pnmal2
VCAN,VCAN,Vcan,Vcan
PRMT5,PRMT5,Prmt5,Prmt5
WTIP,WTIP,Wtip,Wtip
STARD3,STARD3,Stard3,Stard3
TTLL5,TTLL5,Ttll5,Ttll5
CHAT,CHAT,Chat,Chat
KLF10,KLF10,Klf10,Klf10
TGFB3,TGFB3,Tgfb3,Tgfb3
GJD4,GJD4,Gjd4,Gjd4
KIF18B,KIF18B,Kif18b,Kif18b
CYP24A1,CYP24A1,Cyp24a1,Cyp24a1
TTC8,TTC8,Ttc8,Ttc8
SLC17A5,SLC17A5,Slc17a5,Slc17a5
HCN4,HCN4,Hcn4,Hcn4
ZNF462,ZNF462,Zfp462,Zfp462
TBC1D20,TBC1D20,Tbc1d20,Tbc1d20
DUSP15,DUSP15,Dusp15,Dusp15
CYB5D2,CYB5D2,Cyb5d2,Cyb5d2
KERA,KERA,Kera,Kera
ANKFY1,ANKFY1,Ankfy1,Ankfy1
STAG3,STAG3,Stag3,Stag3
OTOP3,OTOP3,Otop3,Otop3
PNKP,PNKP,Pnkp,Pnkp
CTPS1,CTPS1,Ctps,Ctps1
SFTPD,,Sftpd,Sftpd
EXOSC6,EXOSC6,Exosc6,Exosc6
THBS4,THBS4,Thbs4,Thbs4
HTR1D,HTR1D,Htr1d,Htr1d
ATP10B,ATP10B,Atp10b,Atp10b
CCL5,CCL5,Ccl5,Ccl5
TEP1,TEP1,Tep1,Tep1
TRPS1,TRPS1,Trps1,Trps1
RAB37,RAB37,Rab37,Rab37
NFKBIA,NFKBIA,Nfkbia,Nfkbia
GIT1,GIT1,Git1,Git1
ABHD14B,ABHD14B,Abhd14b,Abhd14b
TTC1,TTC1,Ttc1,Ttc1
NELL1,NELL1,Nell1,Nell1
HOXB8,HOXB8,Hoxb8,Hoxb8
TSPAN33,TSPAN33,Tspan33,Tspan33
MCF2,MCF2,Mcf2,Mcf2
EGR1,EGR1,Egr1,Egr1
FOXK2,FOXK2,Foxk2,Foxk2
IGFBP4,IGFBP4,Igfbp4,Igfbp4
KRT25,KRT25,Krt25,Krt25
SNX11,SNX11,Snx11,Snx11
ATP6V1B2,ATP6V1B2,Atp6v1b2,Atp6v1b2
GJE1,GJE1,Gje1,Gje1
GSX2,GSX2,Gsx2,Gsx2
PSMB7,PSMB7,Psmb7,Psmb7
LASP1,LASP1,Lasp1,Lasp1
TPRG1,TPRG1,Tprg,Tprg1
TIPRL,TIPRL,Tiprl,Tiprl
PLPP4,PLPP4,Plpp4,Plpp4
FBXL16,FBXL16,Fbxl16,Fbxl16
PALLD,PALLD,Palld,Palld
WNT4,WNT4,Wnt4,Wnt4
OCA2,OCA2,Oca2,Oca2
TTC23,TTC23,Ttc23,Ttc23
CD22,CD22,Cd22,Cd22
SYT11,SYT11,Syt11,Syt11
SCG5,SCG5,Scg5,Scg5
ABHD16B,ABHD16B,Abhd16b,Abhd16b
NDRG1,Ndrg1,Ndrg1,Ndrg1
GNAI1,GNAI1,Gnai1,Gnai1
SERPINB8,SERPINB8,Serpinb8,Serpinb8
CNTD1,CNTD1,Cntd1,Cntd1
SEC24C,SEC24C,Sec24c,Sec24c
PITPNM2,PITPNM2,Pitpnm2,Pitpnm2
ATF4,ATF4,Atf4,Atf4
FTSJ3,FTSJ3,Ftsj3,Ftsj3
PSME3,PSME3,Psme3,Psme3
ERFE,ERFE,Erfe,Erfe
LYRM7,LYRM7,Lyrm7,Lyrm7
MIEF1,MIEF1,Mief1,Mief1
CDH5,CDH5,Cdh5,Cdh5
ZYG11B,ZYG11B,Zyg11b,Zyg11b
DCAF1,DCAF1,Dcaf1,Dcaf1
CACNA1S,CACNA1S,Cacna1s,Cacna1s
INSR,INSR,Insr,Insr
HSD3B7,HSD3B7,Hsd3b7,Hsd3b7
HSPBAP1,HSPBAP1,Hspbap1,Hspbap1
COA7,,Coa7,Coa7
BCAN,BCAN,Bcan,Bcan
MOXD1,MOXD1,Moxd1,Moxd1
MANF,MANF,Manf,Manf
CPXM2,CPXM2,Cpxm2,Cpxm2
MDK,MDK,Mdk,Mdk
STK32C,,Stk32c,Stk32c
C12orf10,C11H12orf10,Myg1,Myg1
PSMB4,PSMB4,Psmb4,Psmb4
MYOZ1,MYOZ1,Myoz1,Myoz1
ZNF445,ZNF445,Zfp445,Zfp445
GAR1,GAR1,Gar1,Gar1
CDT1,CDT1,Cdt1,Cdt1
VGLL1,VGLL1,Vgll1,
CEBPA,,Cebpa,Cebpa
CSRNP2,CSRNP2,Csrnp2,Csrnp2
FGD5,FGD5,Fgd5,Fgd5
SERPINB7,SERPINB7,Serpinb7,Serpinb7
ATRX,ATRX,Atrx,Atrx
HPGDS,GSTS1,Hpgds,Hpgds
SLC24A4,SLC24A4,Slc24a4,Slc24a4
CCT2,CCT2,Cct2,Cct2
BCL2L10,BCL2L10,Bcl2l10,Bcl2l10
ZBTB39,ZBTB39,Zbtb39,Zbtb39
PDZD9,PDZD9,Pdzd9,Pdzd9
INSIG2,INSIG2,Insig2,Insig2
TLR1,TLR1,Tlr1,Tlr10
FEZF2,FEZF2,Fezf2,Fezf2
SLC5A1,SLC5A1,Slc5a1,Slc5a1
TRIM62,TRIM62,Trim62,Trim62
CTSC,CTSC,Ctsc,Ctsc
SNORD14E,SNORD14,Snord14e,SNORD14
RN7SKP81,7SK,Gm26407,7SK
RBFOX3,RBFOX3,Rbfox3,Rbfox3
TMEM101,TMEM101,Tmem101,Tmem101
ENGASE,ENGASE,Engase,Engase
ITGA3,ITGA3,Itga3,Itga3
CEP295NL,CEP295NL,Cep295nl,Cep295nl
NTMT1,NTMT1,Ntmt1,Ntmt1
LMBRD2,LMBRD2,Lmbrd2,Lmbrd2
ANKRD9,ANKRD9,Ankrd9,Ankrd9
TFPT,TFPT,Tfpt,Tfpt
TECPR2,TECPR2,Tecpr2,Tecpr2
SLC30A1,SLC30A1,Slc30a1,Slc30a1
FAM114A2,FAM114A2,Fam114a2,Fam114a2
TAF3,TAF3,Taf3,Atp5c1
VIL1,VIL1,Vil1,Vil1
TRAF5,TRAF5,Traf5,Traf5
FEN1,FEN1,Fen1,Fen1
DNAJC18,DNAJC18,Dnajc18,Dnajc18
SGK1,SGK1,Sgk1,Sgk1
HAUS7,HAUS7,Haus7,Haus7
STOML1,STOML1,Stoml1,Stoml1
PTPN3,PTPN3,Ptpn3,Ptpn3
KDM6B,KDM6B,Kdm6b,Kdm6b
CYGB,CYGB,Cygb,Cygb
CCL20,CCL20,Ccl20,Ccl20
NT5C3B,NT5C3B,Nt5c3b,Nt5c3b
RAN,RAN,Ran,Ran
RALGPS1,RALGPS1,Ralgps1,Ralgps1
ANKLE2,ANKLE2,Ankle2,Ankle2
ETV4,ETV4,Etv4,Etv4
TMEM126A,TMEM126A,Tmem126a,Tmem126a
SLC39A5,SLC39A5,Slc39a5,Slc39a5
TRIM42,TRIM42,Trim42,Trim42
PIP4P1,PIP4P1,Tmem55b,Tmem55b
FAM135B,FAM135B,Fam135b,Fam135b
MRPL38,MRPL38,Mrpl38,Mrpl38
ARRDC1,,Arrdc1,Arrdc1
EIF4E3,EIF4E3,Eif4e3,Eif4e3
SRF,SRF,Srf,Srf
PBX3,PBX3,Pbx3,Pbx3
EOGT,EOGT,Eogt,Eogt
ACVRL1,ACVRL1,Acvrl1,Acvrl1
EIF2B1,EIF2B1,Eif2b1,Eif2b1
RAB25,RAB25,Rab25,Rab25
MAP3K13,MAP3K13,Map3k13,Map3k13
CACNA1D,CACNA1D,Cacna1d,Cacna1d
CHDH,CHDH,Chdh,Chdh
GTSF1L,GTSF1L,Gtsf1l,RGD1563200
OAZ3,OAZ3,Oaz3,Oaz3
TSEN54,TSEN54,Tsen54,Tsen54
ENTPD8,ENTPD8,Entpd8,Entpd8
SLC19A2,SLC19A2,Slc19a2,Slc19a2
EPB41,EPB41,Epb41,Epb41
GAL,GAL,Gal,Gal
COL9A1,COL9A1,Col9a1,Col9a1
PDZK1IP1,PDZK1IP1,Pdzk1ip1,Pdzk1ip1
TUBB1,TUBB1,Tubb1,Tubb1
KRT19,KRT19,Krt19,Krt19
CELF1,CELF1,Celf1,Celf1
BOD1L1,BOD1L1,Bod1l,Bod1l1
GABRA1,GABRA1,Gabra1,Gabra1
KRT35,KRT35,Krt35,Krt35
ZC2HC1C,ZC2HC1C,Zc2hc1c,Zc2hc1c
RNF208,RNF208,Rnf208,Rnf208
ATP2A2,ATP2A2,Atp2a2,Atp2a2
RAB32,RAB32,Rab32,Rab32
CEP295,CEP295,Cep295,Cep295
DNAJC13,DNAJC13,Dnajc13,Dnajc13
SSNA1,SSNA1,Ssna1,Ssna1
IL4I1,IL4I1,Il4i1,Il4i1
TMEM38B,TMEM38B,Tmem38b,Tmem38b
HMGXB4,HMGXB4,Hmgxb4,Hmgxb4
NUP62,NUP62,Nup62,Nup62
ADAMTS17,ADAMTS17,Adamts17,Adamts17
ARMC10,ARMC10,Armc10,Armc10
CDS1,CDS1,Cds1,Cds1
GABRA3,GABRA3,Gabra3,Gabra3
KIF2C,KIF2C,Kif2c,Kif2c
SERPINA9,SERPINA9,Serpina9,Serpina9
MED25,MED25,Med25,Med25
MON1A,MON1A,Mon1a,Mon1a
OVOL1,OVOL1,Ovol1,Ovol1
SLC25A3,SLC25A3,Slc25a3,Slc25a3
SNCAIP,SNCAIP,Sncaip,Sncaip
SGSM2,SGSM2,Sgsm2,Sgsm2
TSPAN5,TSPAN5,Tspan5,Tspan5
PGRMC2,PGRMC2,Pgrmc2,Pgrmc2
SMYD1,SMYD1,Smyd1,Smyd1
MDFIC2,MDFIC2,Gm765,LOC100363436
FER,FER,Fer,Fer
LYSMD4,,Lysmd4,Lysmd4
SMG6,SMG6,Smg6,Smg6
RPL19,,Rpl19,RGD1562420
JMJD4,JMJD4,Jmjd4,Jmjd4
PPP6C,,Ppp6c,Ppp6c
TEX22,TEX22,Tex22,Tex22
SLC24A1,SLC24A1,Slc24a1,Slc24a1
MPDZ,MPDZ,Mpdz,Mpdz
UBLCP1,UBLCP1,Ublcp1,Ublcp1
VPS45,VPS45,Vps45,Vps45
SCN3B,SCN3B,Scn3b,Scn3b
IMPG2,IMPG2,Impg2,Impg2
NMU,NMU,Nmu,Nmu
TAF12,TAF12,Taf12,Taf12
WDR45B,WDR45B,Wdr45b,Wdr45b
SLC39A11,SLC39A11,Slc39a11,Slc39a11
KCNJ16,KCNJ16,Kcnj16,Kcnj16
GRM1,GRM1,Grm1,Grm1
TCEANC2,TCEANC2,Tceanc2,Tceanc2
HMBS,HMBS,Hmbs,Hmbs
